phrasal_verb,example,description
abide by,They promised to abide by the rules of the contest.,"['to follow a rule, decision, or instruction']"
abide by,"Ah, surely,' Maram said, `this is the time to abide by the letter of his rule?","['to follow a rule, decision, or instruction']"
accord with,Hemming’s account does not accord with the police evidence.,['to agree with or be the same as something else']
account for,The increase in carbon dioxide emissions may account for changes in the climate.,"['if someone is accounted for, you know where they are and so do not worry that they are not where they should be', 'to be the reason why something exists or happens', 'to form, use, or produce a particular amount or part of a group of people or things', 'to give an explanation for something bad that has happened, especially something that you are responsible for', 'to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job', 'used for saying that you think what someone likes is strange']"
account for,This was fully and properly accounted for and audited.,"['if someone is accounted for, you know where they are and so do not worry that they are not where they should be', 'to be the reason why something exists or happens', 'to form, use, or produce a particular amount or part of a group of people or things', 'to give an explanation for something bad that has happened, especially something that you are responsible for', 'to say how you have used, or how you will use, an amount of money that you are responsible for spending, especially in your job', 'used for saying that you think what someone likes is strange']"
ache for,He was so lonely he ached for the sound of a human voice.,['to want something or someone very much']
act as,You speak Greek – will you act as interpreter?,['to do the job of a particular kind of person or thing']
act as,Body fat acts as an insulator.,['to do the job of a particular kind of person or thing']
act on,They were acting on the instructions of senior managers.,"['to do something because you have been given information, advice, or orders']"
act on,I’m acting on the advice of my lawyers.,"['to do something because you have been given information, advice, or orders']"
act out,He was acting out his feelings of inferiority by being overly aggressive.,"['to do something that you have planned or had previously only thought of doing', 'to express your thoughts or feelings through your words or behaviour', 'to show the events that happened in a situation by doing them again or by doing the same things as the people involved']"
act out,He was gone so fast Tesla had no choice but to act out at the same time.,"['to do something that you have planned or had previously only thought of doing', 'to express your thoughts or feelings through your words or behaviour', 'to show the events that happened in a situation by doing them again or by doing the same things as the people involved']"
act up,Agree with your partner how you are going to set boundaries for your stepson when he acts up.,"['if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems', 'if children act up, they behave badly']"
act up,I hope my back doesn’t start acting up again.,"['if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems', 'if children act up, they behave badly']"
add in,We need to add in some information about his family background.,['to include something as part of something else']
add on,He told the man at the check stand that he was installing a tub in an add-on bathroom.,"['to build an extra part onto a building', 'to include an extra thing or amount in something']"
add on,The referee added on eight minutes of injury time.,"['to build an extra part onto a building', 'to include an extra thing or amount in something']"
add on to,You might want to add on to the kitchen at a later date.,['to build an extra part onto a building']
add to,Add the amount of tax you paid to the total.,"['to make an amount or number greater by adding another amount or number', 'to make something such as a feeling or a quality greater or more extreme']"
add to,All her many expenses were added to my bill.,"['to make an amount or number greater by adding another amount or number', 'to make something such as a feeling or a quality greater or more extreme']"
add up,All these little expenses soon add up.,"['if a set of facts does not add up, you do not believe it is correct because it does not match other information that you already have', 'if small amounts add up, they gradually produce a large total', 'to calculate the total of several numbers or amounts']"
add up,Even now most governments are assuming that people's claims collectively can be made to add up by a growing economy.,"['if a set of facts does not add up, you do not believe it is correct because it does not match other information that you already have', 'if small amounts add up, they gradually produce a large total', 'to calculate the total of several numbers or amounts']"
